Rk,Gtm,Date,Loc,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
98,98,2019 07 20,@,NYY,"L,5-11",8,14,11,11,0,5,11,0,1,5.53,44,202,122,4,1,1,0,38,3,0,0,0,0,0,0,5,Chris Conroy,"A.Senzatela (5-15-L), C.Bettis (2), C.Estevez (2), B.Shaw (2), J.Diaz (0)"
99,99,2019 07 21,@,NYY,"W,8-4",9,4,4,4,0,3,6,3,0,5.52,34,129,83,0,0,0,0,31,0,0,0,0,0,0,0,3,Jansen Visconti,"G.Marquez (5-66-W), S.Oberg (4), W.Davis (4)"
100,100,2019 07 23,@,WSN,"L,1-11",8,17,11,11,0,2,9,1,1,5.58,43,165,105,3,2,2,0,40,4,1,0,0,0,0,1,4,Jerry Meals,"P.Lambert (6-45-L), S.Howard (99), J.Diaz (2), J.McGee (3)"
101,101,2019 07 24,@,WSN,"L,2-3",8,7,3,3,0,7,6,2,0,5.56,38,149,89,0,0,0,0,31,1,0,1,0,0,0,0,3,Ron Kulpa,"J.Gray (6-53), C.Bettis (3), C.Estevez (3-L)"
102,102,2019 07 24,@,WSN,"L,0-2",8,6,2,1,1,2,6,1,0,5.52,32,137,84,0,0,1,0,30,3,0,0,0,0,1,0,3,John Libka,"K.Freeland (4-65-L), J.McGee (0), S.Oberg (2)"
103,103,2019 07 25,@,WSN,"W,8-7",9,7,7,7,0,8,8,2,1,5.54,42,171,99,1,0,3,0,32,3,0,0,1,0,0,1,6,Gabe Morales,"J.Hoffman (34-47), B.Shaw (4-BSv), C.Estevez (0), S.Howard (1), J.Diaz 
(1-W), W.Davis (3-Sv)"
104,104,2019 07 26,@,CIN,"W,12-2",9,8,2,2,0,0,7,1,0,5.5,33,115,83,0,0,0,0,33,2,0,0,0,0,0,2,3,Mark Wegner,"G.Marquez (4-66-W), S.Oberg (1), C.Bettis (1)"
105,105,2019 07 27,@,CIN,"L,1-3",8,6,3,3,0,3,4,2,1,5.48,31,124,74,1,0,0,1,27,0,0,0,0,0,0,2,4,Alan Porter,"C.Gonzalez (11-48-L), J.Diaz (1), C.Estevez (1), J.McGee (2)"
106,106,2019 07 28,@,CIN,"L,2-3",8,8,3,3,0,4,6,0,1,5.47,36,159,103,2,0,0,0,30,1,0,0,1,0,0,1,4,Bill Miller,"P.Lambert (4-50), J.McGee (0-L), J.Diaz (0), S.Howard (2)"
107,107,2019 07 29,x,LAD,"W,9-1",9,4,1,1,0,3,6,0,0,5.42,33,124,71,0,0,0,0,30,2,0,0,0,0,0,1,2,Lance Barksdale,"J.Gray (4-75-W), W.Davis (3)"
108,108,2019 07 30,x,LAD,"L,4-9",9,9,9,8,1,5,9,4,0,5.45,40,167,103,2,1,0,1,35,2,0,0,0,0,0,0,4,John Bacon,"K.Freeland (5-14-L), C.Bettis (3), S.Howard (1), B.Shaw (4)"
109,109,2019 07 31,x,LAD,"L,1-5",9,8,5,5,0,4,16,2,0,5.44,39,163,104,0,0,0,0,35,1,0,0,0,0,1,1,5,Kerwin Danley,"G.Marquez (4-78), J.McGee (2), S.Oberg (4), W.Davis (1-L), C.Estevez (3)"
110,110,2019 08 02,x,SFG,"W,5-4",9,9,4,4,0,3,8,1,0,5.43,38,123,82,0,0,0,0,35,2,1,1,0,0,0,1,3,Todd Tichenor,"P.Lambert (4-46), J.Diaz (4-W), S.Oberg (1-Sv)"
111,111,2019 08 03,x,SFG,"L,5-6",9,14,6,6,0,5,9,1,1,5.44,46,194,116,6,0,1,0,40,6,0,0,0,0,0,1,6,Adam Hamari,"J.Gray (4-32), B.Shaw (3), J.McGee (2-H), C.Estevez (2-BL), S.Howard (3), 
C.Bettis (3)"
112,112,2019 08 04,x,SFG,"W,6-2",9,7,2,2,0,1,8,2,0,5.41,33,133,88,0,0,0,0,32,0,0,0,0,0,0,1,5,Ben May,"K.Freeland (4-53-W), W.Davis (3), J.McGee (0), J.Diaz (1), S.Oberg (1)"
113,113,2019 08 06,@,HOU,"L,6-11",8,13,11,11,0,2,6,4,0,5.46,39,151,96,2,1,1,0,37,2,1,0,0,0,1,1,5,Marvin Hudson,"G.Marquez (5-35), C.Gonzalez (9-L), J.McGee (1), B.Shaw (2), C.Bettis (2)"
114,114,2019 08 07,@,HOU,"L,3-14",8,12,14,14,0,9,9,2,0,5.54,45,176,101,6,4,0,0,35,2,0,0,0,1,0,0,3,Adrian Johnson,"P.Lambert (4-6-L), J.Tinoco (22), S.Howard (3)"
115,115,2019 08 08,@,SDP,"L,3-9",8,8,9,4,5,3,8,2,1,5.53,38,128,77,2,2,1,1,33,2,0,0,1,0,3,0,3,Pat Hoberg,"J.Gray (4-39-L), J.Diaz (3), B.Shaw (1)"
116,116,2019 08 09,@,SDP,"L,1-7",8,11,7,7,0,4,6,1,0,5.55,37,142,91,0,0,2,0,32,1,0,0,1,0,0,2,3,Greg Gibson,"K.Freeland (4-45-L), W.Davis (4), S.Oberg (4)"
117,117,2019 08 10,@,SDP,"L,5-8",8,11,8,8,0,3,8,3,0,5.58,38,141,91,0,0,0,0,35,5,1,0,0,0,0,0,4,Gerry Davis,"C.Gonzalez (3-32), C.Bettis (3), J.Diaz (1-L), J.McGee (3)"
118,118,2019 08 11,@,SDP,"W,8-3",9,6,3,3,0,3,10,2,0,5.56,35,117,83,0,0,0,0,32,1,0,0,0,0,0,1,2,Brian Knight,"G.Marquez (4-67-W), C.Estevez (7)"
119,119,2019 08 12,x,ARI,"L,6-8",9,11,8,7,1,5,3,3,0,5.57,41,135,86,0,0,1,1,36,2,0,1,0,0,0,1,6,Fieldin Culbreth,"P.Lambert (4-43), J.McGee (1-BSv), C.Bettis (1-L), J.Diaz (1), W.Davis (2), 
B.Shaw (3)"
120,120,2019 08 13,x,ARI,"L,3-9",9,11,9,9,0,5,9,4,0,5.6,41,149,97,0,0,0,1,36,0,1,1,0,0,0,0,5,CB Bucknor,"J.Hoffman (18-18-L), J.Tinoco (5), C.Estevez (1), C.Bettis (0), J.McGee (0)"
121,121,2019 08 14,x,ARI,"W,7-6",9,12,6,6,0,2,8,2,0,5.6,39,148,96,0,0,0,0,37,3,0,0,0,0,0,2,4,Chris Conroy,"K.Freeland (4-41), J.Diaz (1), W.Davis (1), S.Oberg (4-W)"
122,122,2019 08 16,x,MIA,"W,3-0",9,6,0,0,0,0,8,0,0,5.55,32,112,80,0,0,0,0,32,0,1,0,0,0,0,1,2,Tony Randazzo,"J.Gray (7-79-W), S.Oberg (1-Sv)"
123,123,2019 08 17,x,MIA,"W,11-4",9,8,4,4,0,3,11,2,0,5.54,37,174,117,0,0,0,1,34,1,0,0,0,0,0,0,4,Jeff Nelson,"G.Marquez (5-56-W), C.Estevez (3), J.Tinoco (3), Y.Almonte (28)"
124,124,2019 08 18,x,MIA,"W,7-6",10,11,6,6,0,3,7,0,0,5.54,44,166,109,2,2,0,0,40,5,0,0,0,1,0,0,5,Ramon De Jesus,"P.Lambert (5-49), B.Shaw (5), J.Diaz (3), W.Davis (3-BSv), C.Estevez (0-W)"
125,125,2019 08 19,@,ARI,"L,3-5",8,6,5,5,0,2,4,2,0,5.54,32,127,81,3,2,1,0,30,1,1,0,0,0,0,0,4,Tripp Gibson,"C.Gonzalez (8-59), J.Tinoco (1), W.Davis (0-L), J.McGee (5)"
126,126,2019 08 20,@,ARI,"L,7-8",8,9,8,3,5,4,6,1,0,5.52,38,143,94,3,2,0,1,33,1,1,1,0,1,2,0,4,Dan Bellino,"K.Freeland (5-42-L), B.Shaw (1), Y.Almonte (2), D.Johnson (99)"
127,127,2019 08 21,@,ARI,"W,7-2",9,4,2,2,0,3,6,2,0,5.5,34,142,87,2,0,0,0,31,1,0,0,0,0,0,0,4,Chris Segal,"T.Melville (99-71-W), J.Tinoco (1), C.Estevez (2), J.Diaz (2)"
128,128,2019 08 22,@,STL,"L,5-6",8,9,6,6,0,5,7,3,0,5.51,36,142,88,0,0,0,0,31,1,0,0,0,0,0,2,3,Bruce Dreckman,"G.Marquez (4-44), Y.Almonte (1-BL), D.Johnson (1)"
129,129,2019 08 23,@,STL,"L,3-8",8,13,8,4,4,5,1,1,1,5.5,43,147,84,1,1,0,0,35,2,0,0,1,1,1,1,4,Mike Estabrook,"P.Lambert (4-35-L), W.Parsons (30), W.Davis (3), J.McGee (3)"
130,130,2019 08 24,@,STL,"L,0-6",8,6,6,6,0,8,4,2,0,5.51,37,146,79,3,1,0,0,28,0,0,0,0,1,0,0,4,Paul Emmel,"C.Gonzalez (4-33-L), D.Johnson (1), B.Shaw (3), Y.Almonte (1)"
131,131,2019 08 25,@,STL,"L,4-11",8,15,11,11,0,6,5,2,0,5.55,43,162,103,1,0,2,1,37,3,1,0,0,0,0,0,6,Chad Fairchild,"A.Senzatela (35-20-L), J.Tinoco (3), W.Davis (1), C.Estevez (3), B.Shaw 
(0), J.McGee (1)"
132,132,2019 08 26,x,ATL,"W,3-1",9,7,1,1,0,5,12,0,0,5.52,37,165,104,0,0,3,0,30,3,1,0,1,1,0,1,4,Nic Lentz,"T.Melville (4-60), W.Parsons (2), C.Estevez (0), J.Diaz (4-BW)"
133,133,2019 08 27,x,BOS,"L,6-10",9,10,10,8,2,8,4,3,0,5.54,43,160,89,1,0,0,0,35,3,0,0,0,0,1,4,5,Jansen Visconti,"R.Garcia (99-26-L), Y.Almonte (2), J.McGee (1), B.Shaw (1), W.Davis (1)"
134,134,2019 08 28,x,BOS,"L,4-7",9,12,7,7,0,3,7,4,0,5.55,42,173,107,3,1,0,0,39,2,1,0,0,0,1,0,5,Jerry Meals,"P.Lambert (4-30-L), S.Howard (20), J.Tinoco (2), C.Estevez (1), W.Parsons 
(1)"
135,135,2019 08 29,x,PIT,"L,8-11",9,15,11,11,0,2,8,3,2,5.59,45,152,93,1,0,1,0,40,3,0,0,1,0,0,1,5,Todd Tichenor,"C.Gonzalez (4-9-L), Y.Almonte (1), J.Tinoco (0), J.McGee (1), W.Davis (1)"
136,136,2019 08 30,x,PIT,"L,4-9",9,16,9,8,1,1,4,1,1,5.61,42,153,104,0,0,0,0,39,4,0,0,0,1,1,2,5,Ben May,"A.Senzatela (4-24-L), B.Shaw (2), C.Estevez (1), W.Davis (0), J.Diaz (3)"
137,137,2019 08 31,x,PIT,"L,4-11",9,18,11,9,2,3,6,3,0,5.63,49,184,121,0,0,0,0,44,3,0,0,1,1,1,0,5,Adam Hamari,"T.Melville (4-21-L), W.Parsons (2), B.Shaw (0), J.McGee (1), S.Howard (2)"
138,138,2019 09 01,x,PIT,"L,2-6",9,14,6,3,3,2,8,2,0,5.61,42,147,95,1,0,0,1,39,1,0,0,1,0,2,1,5,Tom Hallion,"J.Hoffman (18-43-L), J.Tinoco (2), J.Pazos (99), C.Estevez (1), J.Diaz (1)"
139,139,2019 09 02,@,LAD,"L,9-16",8,17,16,13,3,6,6,7,1,5.67,48,202,121,6,1,2,0,40,4,0,2,1,0,1,1,7,Larry Vanover,"P.Lambert (4-15-L), Y.Almonte (3), J.Pazos (0), J.Tinoco (0), S.Howard (1), 
J.McGee (1), I.Desmond (99)"
140,140,2019 09 03,@,LAD,"L,3-5",8,6,5,5,0,3,4,3,0,5.67,32,135,82,2,2,0,0,29,0,0,0,0,0,0,1,4,Dan Bellino,"C.Gonzalez (4-59), B.Shaw (2-BL), C.Estevez (1), W.Davis (3)"
141,141,2019 09 04,@,LAD,"L,3-7",8,8,7,7,0,2,8,2,0,5.69,34,141,84,0,0,0,0,31,0,0,0,1,0,0,0,5,David Rackley,"A.Senzatela (4-29-L), W.Parsons (3), D.Johnson (10), S.Howard (1), J.Diaz 
(2)"
142,142,2019 09 06,@,SDP,"W,3-2",9,5,2,2,0,4,10,0,1,5.66,36,146,92,3,0,0,0,31,1,0,0,0,0,0,0,5,Alex Tosi,"T.Melville (5-57-W), J.Pazos (3-H), D.Johnson (1-H), C.Estevez (2-H), 
J.Diaz (1-Sv)"
143,143,2019 09 07,@,SDP,"L,0-3",8,6,3,3,0,4,9,2,0,5.65,33,128,80,1,0,1,0,29,0,0,0,0,0,0,1,4,Mark Ripperger,"J.Hoffman (5-53-L), S.Howard (2), W.Parsons (2), J.Harvey (99)"
144,144,2019 09 08,@,SDP,"L,1-2",9.1,7,2,2,0,7,7,0,1,5.62,41,158,96,6,1,1,0,33,2,0,0,0,0,0,1,8,Brian O'Nora,"P.Lambert (5-54), D.Johnson (1), B.Shaw (4), C.Estevez (1), J.Diaz (1), 
J.Tinoco (5-L), S.Howard (0), Y.Almonte (5)"
145,145,2019 09 10,x,STL,"W,2-1",9,6,1,1,0,1,8,0,1,5.59,34,143,90,2,0,0,1,32,1,0,0,0,0,1,1,4,Brian Knight,"C.Gonzalez (6-64-W), B.Shaw (1-H), C.Estevez (1-H), J.Diaz (1-Sv)"
146,146,2019 09 11,x,STL,"W,2-1",9,6,1,1,0,4,7,0,0,5.55,36,137,86,0,0,0,0,31,3,0,0,1,0,1,3,4,Pat Hoberg,"A.Senzatela (6-63-W), W.Parsons (3-H), C.Estevez (0-H), J.Diaz (0-Sv)"
147,147,2019 09 12,x,STL,"L,3-10",9,11,10,10,0,7,11,5,2,5.58,47,182,111,4,2,4,0,37,3,0,1,0,1,0,0,9,Gerry Davis,"T.Melville (5-28-L), J.Tinoco (3), J.Harvey (4), D.Johnson (3), J.Pazos 
(5), Y.Almonte (3), S.Howard (3), W.Davis (8), J.McGee (9)"
148,148,2019 09 13,x,SDP,"W,10-8",9,9,8,8,0,8,8,1,2,5.6,43,184,113,4,4,0,1,33,4,0,1,0,0,1,2,6,Carlos Torres,"J.Hoffman (5-42-W), W.Parsons (1), B.Shaw (2-H), D.Johnson (0-H), C.Estevez 
(1-H), J.Diaz (1-Sv)"
149,149,2019 09 14,x,SDP,"W,11-10",9,10,10,10,0,7,4,1,1,5.63,43,157,92,8,3,0,1,35,4,1,0,0,0,0,1,9,Paul Nauert,"P.Lambert (5-34-W), Y.Almonte (1), J.Pazos (1), J.Harvey (1), P.Diehl (93), 
W.Parsons (0), S.Howard (1), B.Shaw (0-H), J.Tinoco (1-Sv)"
150,150,2019 09 15,x,SDP,"W,10-5",9,8,5,5,0,7,8,3,0,5.63,41,179,111,1,0,0,0,33,2,0,0,1,0,0,1,6,John Libka,"C.Gonzalez (4-50), Y.Almonte (0), S.Howard (0-W), D.Johnson (1-H), 
C.Estevez (1), J.Harvey (0)"
151,151,2019 09 16,x,NYM,"W,9-4",9,9,4,4,0,3,9,2,0,5.62,39,152,96,0,0,0,0,36,2,0,1,0,0,0,0,4,Ryan Blakney,"A.Senzatela (4-43-W), J.Pazos (1-H), C.Estevez (0), J.Diaz (2)"
152,152,2019 09 17,x,NYM,"L,1-6",9,11,6,6,0,3,4,3,0,5.62,36,133,81,1,0,0,0,33,1,0,0,0,0,0,3,5,Chad Fairchild,"T.Melville (4-42-L), P.Diehl (2), Y.Almonte (1), W.Parsons (2), R.Garcia 
(20)"
153,153,2019 09 18,x,NYM,"L,4-7",9,10,7,6,1,6,4,2,1,5.62,42,163,100,10,4,0,0,35,1,0,0,0,0,0,1,7,Kerwin Danley,"J.Hoffman (4-52), P.Diehl (0), Y.Almonte (0-H), J.Pazos (1-H), J.Tinoco 
(3-H), J.Diaz (1-BL), J.Harvey (2)"
154,154,2019 09 20,@,LAD,"L,5-12",8,13,12,12,0,4,7,2,3,5.67,43,182,105,5,4,3,0,33,3,0,0,2,1,0,1,6,Greg Gibson,"P.Lambert (5-29-L), S.Howard (4), W.Parsons (2), J.McGee (7), W.Davis (7), 
P.Diehl (1)"
155,155,2019 09 21,@,LAD,"W,4-2",9,6,2,0,2,1,12,0,0,5.63,34,139,93,0,0,0,0,33,1,1,0,0,0,1,0,4,CB Bucknor,"K.Freeland (31-51), C.Gonzalez (5-W), C.Estevez (4-H), J.Diaz (2-Sv)"
156,156,2019 09 22,@,LAD,"L,4-7",8,11,7,7,0,5,7,4,0,5.64,39,172,100,6,3,0,0,34,1,0,0,0,0,0,1,8,Nic Lentz,"A.Senzatela (5-33-L), J.McGee (1), Y.Almonte (3), D.Johnson (6), J.Pazos 
(3), J.Harvey (3), S.Howard (1), W.Parsons (1)"
157,157,2019 09 24,@,SFG,"W,8-5",16,8,5,5,0,6,15,3,0,5.61,60,224,137,2,0,1,1,53,1,0,1,0,1,1,2,12,Adrian Johnson,"J.Hoffman (5-42), J.Tinoco (5), Y.Almonte (1-BSv), J.Pazos (1), D.Johnson 
(1), C.Estevez (2-BSv), J.Diaz (2), W.Parsons (1), P.Diehl (3), J.Harvey 
(1), S.Howard (1-W), B.Shaw (9-Sv)"
158,158,2019 09 25,@,SFG,"L,1-2",8.1,7,2,2,0,2,3,1,0,5.59,34,124,82,1,0,2,0,31,0,0,0,1,0,0,0,5,Todd Tichenor,"T.Melville (7-55), P.Diehl (0), Y.Almonte (0), J.Pazos (0), D.Johnson (0-L)"
159,159,2019 09 26,@,SFG,"L,3-8",8,12,8,8,0,3,5,2,0,5.61,36,138,86,2,2,0,0,33,4,1,1,0,0,0,1,6,Alex Tosi,"K.Freeland (4-48), J.Tinoco (1-L), P.Diehl (0), S.Howard (1), W.Parsons 
(1), B.Shaw (1)"
160,160,2019 09 27,x,MIL,"W,11-7",9,14,7,7,0,6,7,1,1,5.62,45,164,102,3,0,0,0,38,3,0,0,0,0,0,2,4,Nick Mahrley,"A.Senzatela (4-54-W), J.Pazos (1), J.Harvey (2), J.Diaz (2)"
161,161,2019 09 28,x,MIL,"W,3-2",10,8,2,2,0,2,11,1,0,5.59,37,142,95,1,1,0,1,35,4,0,0,0,0,0,0,6,Mark Carlson,"C.Gonzalez (6-66), J.Pazos (0), Y.Almonte (2), P.Diehl (1), D.Johnson (2), 
J.Diaz (0-W)"
162,162,2019 09 29,x,MIL,"W,4-3",13,7,3,3,0,6,13,2,2,5.56,54,211,131,3,0,0,0,46,3,0,0,0,0,1,0,8,Tripp Gibson,"J.Hoffman (4-56), S.Howard (2), J.Tinoco (2), J.Harvey (1), W.Parsons (2), 
Y.Almonte (0), D.Johnson (0), B.Shaw (2-W)"
