Rk,Gtm,Date,Loc,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
23,23,2019 04 22,x,WSN,"W,7-5",9,6,5,5,0,4,6,1,0,4.07,35,162,100,0,0,2,0,30,1,0,0,1,0,0,2,5,Vic Carapazza,"T.Anderson (16-32), C.Bettis (2), S.Oh (1-W), S.Oberg (0-H), W.Davis (0-Sv)"
24,24,2019 04 23,x,WSN,"L,3-6",9,10,6,6,0,3,11,0,1,4.15,41,175,103,4,2,2,0,36,2,1,0,0,1,0,0,5,Jerry Layne,"J.Hoffman (99-45-L), B.Shaw (2), C.Estevez (1), M.Dunn (2), D.Johnson (2)"
25,25,2019 04 24,x,WSN,"W,9-5",9,12,5,5,0,2,10,1,0,4.18,41,140,97,2,0,0,0,39,3,0,0,0,0,0,0,4,Hunter Wendelstedt,"G.Marquez (4-54-W), S.Oberg (1-H), H.Musgrave (4), W.Davis (1-Sv)"
26,26,2019 04 26,@,ATL,"W,8-4",9,10,4,4,0,3,7,2,1,4.18,39,157,96,2,0,0,0,35,2,0,0,0,0,0,1,6,Carlos Torres,"A.Senzatela (5-44-W), C.Estevez (2-H), S.Oh (3-H), S.Oberg (1), C.Bettis 
(3), W.Davis (1-Sv)"
27,27,2019 04 27,@,ATL,"W,9-5",9,9,5,5,0,4,6,2,0,4.21,38,141,88,1,0,1,0,34,3,0,0,0,0,0,1,4,Dana DeMuth,"J.Gray (5-29), M.Dunn (3), B.Shaw (3-W), W.Davis (0)"
28,28,2019 04 28,@,ATL,"L,7-8",8,10,8,8,0,6,10,4,0,4.35,41,175,107,5,0,0,0,34,2,1,0,0,1,1,0,6,Angel Hernandez,"T.Anderson (5-41), D.Johnson (4), B.Shaw (0-H), C.Estevez (1-H), S.Oh 
(1-BL), M.Dunn (0)"
29,29,2019 04 29,@,MIL,"L,1-5",8,8,5,5,0,2,4,2,0,4.39,34,107,70,0,0,0,0,32,1,0,0,0,0,0,0,2,Jeff Nelson,"K.Freeland (10-41-L), C.Bettis (2)"
30,30,2019 04 30,@,MIL,"L,3-4",8,6,4,4,0,0,7,1,0,4.4,29,96,72,0,0,0,0,29,1,0,0,0,0,0,1,2,Jansen Visconti,"G.Marquez (5-55-L), B.Shaw (1)"
31,31,2019 05 01,@,MIL,"W,11-4",9,8,4,4,0,8,7,1,0,4.38,41,194,109,2,2,0,0,33,1,0,0,0,0,0,2,7,Laz Diaz,"A.Senzatela (4-45), M.Dunn (2), C.Estevez (2-BW), S.Oh (2-H), B.Shaw (0-H), 
S.Oberg (4), H.Musgrave (6)"
32,32,2019 05 02,@,MIL,"W,11-6",9,10,6,6,0,3,14,1,0,4.43,40,162,104,5,1,0,0,37,2,0,0,0,0,0,0,5,Chris Conroy,"J.Gray (4-42-W), C.Estevez (0), M.Dunn (0), C.Bettis (2), W.Davis (4)"
33,33,2019 05 03,x,ARI,"L,9-10",9,12,10,9,1,2,8,4,0,4.57,42,159,113,1,1,0,0,40,3,0,0,0,0,0,0,5,Brian Gorman,"T.Anderson (4-28-L), B.Shaw (1), S.Oh (1), C.Bettis (0), H.Musgrave (1)"
