Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
24,24,44307,@,MIL,"W,6-5",9,6,5,5,0,4,11,2,1,4.1,37,146,94,2,2,2,0,32,0,1,0,0,0,0,1,4,Mark Ripperger,"C.Kershaw (5-63), S.Alexander (1-H), P.Baez (1-H), K.Jansen (1-BW)"
25,25,44309,@,CHC,"L,2-7",8,8,7,7,0,6,9,2,0,4.24,37,131,88,0,0,0,0,31,2,0,1,0,0,0,2,4,Ted Barrett,"K.Maeda (6-26-L), J.Urias (4), C.Ferguson (2), Y.Garcia (2)"
26,26,44310,@,CHC,"L,6-7",8,7,7,7,0,3,3,2,1,4.36,34,130,77,0,0,0,0,30,3,0,1,0,0,0,0,4,Chad Whitson,"W.Buehler (6-48), S.Alexander (2-L), J.Kelly (4), Y.Garcia (0)"
27,27,44311,@,CHC,"W,2-1",9,7,1,1,0,3,12,1,1,4.24,36,143,94,1,0,0,1,32,1,0,0,0,0,0,1,5,Lance Barksdale,"R.Stripling (5-59), P.Baez (3-W), C.Ferguson (1-H), J.Kelly (0-H), K.Jansen 
(3-Sv)"
28,28,44312,x,PIT,"W,6-2",9,9,2,2,0,0,11,1,0,4.16,35,119,78,1,0,0,0,35,1,0,0,0,0,0,1,4,Paul Emmel,"H.Ryu (5-63-W), S.Alexander (1), D.Floro (5), Y.Garcia (1)"
29,29,44313,x,PIT,"W,3-1",9,5,1,1,0,2,9,0,0,4.05,34,139,91,3,0,0,0,31,1,0,0,1,0,0,0,4,Bruce Dreckman,"C.Kershaw (5-73-W), C.Ferguson (1), P.Baez (1-H), K.Jansen (1-Sv)"
30,30,44314,x,PIT,"W,7-6",9,9,6,2,4,2,11,2,0,3.98,39,152,110,0,0,0,0,36,2,0,0,1,0,1,0,3,Sean Barber,"R.Hill (99-56), J.Urias (4-W), K.Jansen (0-Sv)"
31,31,44315,@,SFG,"L,2-3",8,11,3,3,0,5,6,0,0,3.96,38,125,75,4,3,0,0,33,4,0,0,0,0,0,1,5,Mike Muchlinski,"K.Maeda (5-54), S.Alexander (2-H), R.Stripling (3-L), D.Floro (2-BSv), 
J.Kelly (3)"
32,32,44316,@,SFG,"W,10-3",9,6,3,3,0,1,9,0,0,3.93,33,142,96,1,0,0,0,32,1,1,0,0,0,0,1,3,Mike Winters,"W.Buehler (5-49-W), D.Floro (0), Y.Garcia (3)"
33,33,44317,@,SFG,"L,1-2",8.2,7,2,2,0,0,7,0,0,3.87,31,123,76,2,1,0,0,30,1,0,0,0,1,0,2,3,Tim Timmons,"H.Ryu (4-76), J.Urias (2-L), P.Baez (3)"
34,34,44319,@,SDP,"W,4-3",9,6,3,3,0,2,10,2,0,3.85,35,142,97,0,0,0,0,32,2,0,0,1,0,1,1,4,Jim Reynolds,"C.Kershaw (5-53), D.Floro (2), S.Alexander (3-W), K.Jansen (4-Sv)"
