Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
99,99,44395,@,PHI,"L,6-7",8,10,7,6,1,1,9,1,2,3.38,37,148,93,4,3,1,0,32,2,0,0,0,2,1,1,6,Bill Miller,"R.Stripling (4-52), Y.Garcia (1-H), C.Ferguson (21), D.Floro (0-L), J.Kelly 
(0-BSv), J.Chargois (4)"
100,100,44396,x,MIA,"W,2-1",9,4,1,1,0,3,12,0,1,3.35,35,129,82,0,0,0,0,30,2,0,0,1,0,2,1,3,Jim Reynolds,"H.Ryu (4-69-W), K.Maeda (1-H), K.Jansen (2-Sv)"
101,101,44397,x,MIA,"W,10-6",9,6,6,3,3,3,13,1,1,3.35,38,165,106,7,5,0,0,33,2,0,0,0,1,1,0,6,Stu Scheurwater,"C.Kershaw (4-77), J.Chargois (1), C.Ferguson (1), Y.Garcia (1-H), P.Baez 
(2-BW), C.Sadler (2)"
102,102,44398,x,MIA,"W,9-0",9,6,0,0,0,0,14,0,0,3.32,33,125,94,0,0,0,0,33,2,0,0,0,0,0,0,3,Mark Wegner,"W.Buehler (4-78-W), C.Sadler (0), C.Ferguson (0)"
103,103,44400,x,LAA,"L,4-5",9,11,5,5,0,3,10,2,1,3.33,42,160,102,1,1,0,0,38,4,0,0,0,0,1,1,4,Sean Barber,"K.Maeda (3-48-L), J.Urias (5), Y.Garcia (2), J.Chargois (2)"
104,104,44401,x,LAA,"L,2-3",9,6,3,2,1,3,6,1,0,3.32,35,135,86,0,0,1,0,31,2,0,0,0,1,0,1,5,Dan Iassogna,"R.Stripling (5-55-L), J.Chargois (0), C.Sadler (2), P.Baez (3), K.Jansen (4)"
105,105,44403,@,WSN,"W,4-2",9,10,2,2,0,3,6,0,1,3.31,41,159,102,2,0,1,0,36,1,0,0,1,0,1,0,4,Brian O'Nora,"H.Ryu (6-57), J.Kelly (7-W), P.Baez (1-H), K.Jansen (1-Sv)"
106,106,44404,@,WSN,"W,9-3",9,5,3,3,0,5,12,1,0,3.31,35,151,102,1,0,0,0,29,0,1,0,0,1,0,2,4,Dan Bellino,"C.Kershaw (6-64-W), J.Kelly (0), C.Ferguson (5), J.Chargois (2)"
107,107,44405,@,WSN,"L,4-11",8,14,11,8,3,4,7,2,1,3.35,42,150,94,2,1,0,0,37,3,1,0,0,0,1,1,3,Jeremie Rehak,"W.Buehler (6-33-L), Y.Garcia (4), J.Schultz (99)"
108,108,44406,@,COL,"L,1-9",8,11,9,8,1,4,10,1,0,3.4,41,145,97,2,0,1,0,37,3,1,1,0,0,2,0,4,Lance Barksdale,"K.Maeda (5-29-L), C.Ferguson (1), Y.Garcia (0), J.Sborz (38)"
109,109,44407,@,COL,"W,9-4",9,10,4,3,1,2,8,0,0,3.4,37,138,89,1,1,0,1,35,3,1,0,0,0,0,1,3,John Bacon,"J.Urias (6-38), C.Sadler (5-W), T.Gonsolin (33-Sv)"
110,110,44408,@,COL,"W,5-1",9,6,1,1,0,1,3,0,0,3.38,32,121,76,1,0,0,0,31,2,1,0,0,0,0,1,5,Kerwin Danley,"H.Ryu (4-66), P.Baez (4), J.Kelly (3-W), J.Chargois (3), K.Jansen (4)"
111,111,44409,x,SDP,"W,8-2",9,8,2,2,0,7,6,1,0,3.36,40,144,84,0,0,0,0,31,1,0,0,2,0,0,0,4,John Libka,"C.Kershaw (4-52-W), J.Kelly (0), D.Floro (13), Y.Garcia (2)"
112,112,44410,x,SDP,"L,2-5",9,14,5,4,1,1,9,0,0,3.37,39,163,107,1,0,0,1,38,3,0,0,0,0,1,2,4,Ron Kulpa,"D.May (99-40-L), P.Baez (1), C.Sadler (2), Y.Garcia (0)"
113,113,44411,x,SDP,"W,4-1",9,5,1,1,0,0,15,1,0,3.35,31,110,80,,,0,0,31,0,0,0,0,0,1,2,1,Gabe Morales,W.Buehler (5-88-W)
114,114,44412,x,SDP,"W,11-10",9,12,10,9,1,3,11,2,0,3.4,42,178,110,2,0,1,0,37,1,0,0,0,2,1,0,7,Jerry Meals,"K.Maeda (5-31), A.Kolarek (4), Y.Garcia (1), J.Urias (4), J.Kelly (2), 
J.Chargois (3), P.Baez (1-W)"
115,115,44413,x,STL,"W,8-0",9,2,0,0,0,2,9,0,1,3.37,31,122,76,0,0,1,0,28,1,0,0,0,0,0,1,3,Chad Whitson,"T.Gonsolin (5-74-W), J.Chargois (0), C.Sadler (2)"
116,116,44414,x,STL,"W,3-1",9,7,1,1,0,2,11,0,0,3.35,36,145,97,1,0,0,0,34,2,0,0,0,0,0,0,4,Bill Miller,"C.Kershaw (4-73-W), A.Kolarek (1), P.Baez (1-H), K.Jansen (5-Sv)"
117,117,44415,x,STL,"W,2-1",9,7,1,1,0,2,11,1,1,3.33,36,141,99,2,0,0,0,32,2,0,0,1,0,0,1,5,Doug Eddings,"D.May (4-61), A.Kolarek (0), Y.Garcia (2), J.Kelly (2), C.Sadler (1-W)"
118,118,44417,x,ARI,"L,2-3",11,12,3,3,0,4,14,2,1,3.32,48,178,118,0,0,2,0,43,0,0,0,0,0,0,1,6,Ramon De Jesus,"W.Buehler (5-69), P.Baez (2-H), A.Kolarek (1-H), J.Kelly (1-H), K.Jansen 
(2-BSv), J.Urias (4-L)"
119,119,44418,x,ARI,"W,4-0",9,4,0,0,0,1,6,0,0,3.29,31,127,85,1,0,1,1,30,0,0,0,0,0,0,0,4,Cory Blaser,"K.Maeda (5-77-W), C.Ferguson (11), J.Kelly (0), K.Jansen (0)"
120,120,44419,x,ARI,"W,9-3",9,9,3,3,0,1,8,2,1,3.29,37,130,83,0,0,0,0,34,0,0,0,1,0,0,1,3,Tony Randazzo,"H.Ryu (10-70-W), Y.Garcia (3), J.Chargois (5)"
121,121,44421,@,MIA,"W,15-1",9,4,1,1,0,2,9,0,2,3.27,33,134,92,1,0,0,0,29,1,0,0,0,0,0,2,5,Chad Fairchild,"D.May (5-63-W), J.Kelly (2), J.Chargois (1), C.Ferguson (2), R.Martin (47)"
122,122,44422,@,MIA,"W,9-1",9,3,1,1,0,1,13,1,0,3.25,31,120,83,0,0,0,0,30,0,0,0,0,0,1,1,2,Mike Estabrook,"C.Kershaw (7-83-W), Y.Garcia (2)"
123,123,44423,@,MIA,"L,7-13",8,13,13,13,0,6,8,0,3,3.33,44,177,109,6,5,0,0,33,5,0,0,0,2,0,1,6,Nic Lentz,"W.Buehler (5-35-L), P.Baez (5), J.Chargois (1), C.Ferguson (1), K.Jansen 
(4), A.Kolarek (5)"
124,124,44424,@,ATL,"W,8-3",9,6,3,3,0,5,10,0,0,3.33,37,148,91,2,0,1,0,32,1,0,0,0,0,0,1,3,D.J. Reyburn,"K.Maeda (5-47), A.Kolarek (0-W), J.Urias (6-Sv)"
125,125,44425,@,ATL,"L,3-4",8,7,4,4,0,1,8,2,0,3.34,32,141,91,0,0,0,0,30,4,0,0,1,0,0,0,4,Paul Nauert,"H.Ryu (5-45-L), J.Kelly (3), A.Kolarek (0), P.Baez (1)"
126,126,44426,@,ATL,"L,3-5",8,9,5,5,0,1,5,1,1,3.35,35,144,92,0,0,0,1,33,3,0,0,0,0,1,0,4,Fieldin Culbreth,"T.Gonsolin (12-50), P.Baez (0), D.May (4-BL), K.Jansen (2)"
127,127,44428,x,TOR,"W,16-3",9,7,3,3,0,4,8,3,0,3.35,34,128,82,0,0,0,0,30,1,0,0,0,0,0,3,4,Gerry Davis,"C.Kershaw (5-51-W), C.Ferguson (4), D.Floro (18), Y.Garcia (5)"
128,128,44429,x,TOR,"W,2-1",10,6,1,1,0,1,11,1,0,3.33,37,140,97,0,0,0,0,36,2,0,0,0,0,0,0,4,Brian Knight,"W.Buehler (5-75), J.Kelly (3-H), K.Jansen (2-BSv), P.Baez (2-W)"
129,129,44430,x,TOR,"W,3-2",9,5,2,2,0,1,15,1,0,3.32,32,124,83,0,0,0,0,31,0,0,0,0,0,0,1,4,Pat Hoberg,"K.Maeda (5-64), C.Ferguson (1), Y.Garcia (1), C.Sadler (14-W)"
130,130,44431,x,NYY,"L,2-10",9,16,10,10,0,1,11,5,0,3.37,44,161,109,1,1,0,0,43,4,0,1,0,0,1,1,5,Ron Kulpa,"H.Ryu (5-23-L), A.Kolarek (5), Y.Garcia (0), C.Ferguson (0), C.Sadler (0)"
131,131,44432,x,NYY,"W,2-1",9,5,1,1,0,3,10,1,0,3.35,35,143,91,2,0,0,0,32,0,0,0,0,0,0,0,4,Gabe Morales,"T.Gonsolin (5-59-W), J.Kelly (2-H), P.Baez (2-H), K.Jansen (2-Sv)"
132,132,44433,x,NYY,"L,1-5",9,8,5,4,1,1,12,3,1,3.36,36,130,92,0,0,1,0,34,1,0,0,0,0,0,1,3,Bill Welke,"C.Kershaw (4-69-L), P.Baez (0), A.Kolarek (1)"
133,133,44434,@,SDP,"L,3-4",8,4,4,2,2,1,5,0,0,3.35,29,116,72,0,0,0,0,28,1,0,0,0,0,0,0,4,Rob Drake,"D.May (7-49-L), A.Kolarek (0), Y.Garcia (2), C.Sadler (2)"
134,134,44435,@,SDP,"W,9-0",9,5,0,0,0,2,13,0,1,3.33,33,132,87,0,0,2,1,30,2,0,0,0,0,0,1,4,Tim Timmons,"W.Buehler (5-73-W), C.Sadler (0), C.Ferguson (3), R.Martin (13)"
135,135,44436,@,SDP,"W,6-4",10,5,4,4,0,5,10,1,1,3.33,41,155,92,1,0,1,0,33,2,0,0,1,1,0,0,7,Roberto Ortiz,"K.Maeda (5-55), J.Kelly (3-H), Y.Garcia (1-H), A.Kolarek (1-H), P.Baez 
(2-H), K.Jansen (3-BW), C.Sadler (0-Sv)"
136,136,44437,@,ARI,"L,5-11",8,16,11,11,0,2,6,1,1,3.39,43,149,100,2,0,0,0,38,5,0,1,2,0,0,0,4,Mark Ripperger,"H.Ryu (5-19-L), A.Kolarek (0), J.Kelly (0), C.Ferguson (1)"
137,137,44438,@,ARI,"L,4-5",8,8,5,4,1,3,12,2,0,3.39,36,145,97,1,0,2,0,33,2,1,0,0,0,0,0,4,Brian O'Nora,"T.Gonsolin (5-55), P.Baez (1-H), C.Sadler (1-BSv), Y.Garcia (1-L)"
138,138,44439,@,ARI,"L,5-6",8,6,6,6,0,2,10,3,1,3.42,33,140,92,0,0,0,0,29,2,0,0,1,0,1,1,4,James Hoye,"C.Kershaw (5-41-L), Y.Garcia (0), P.Baez (0), K.Jansen (2)"
139,139,44440,@,ARI,"W,4-3",11,8,3,3,0,2,10,0,0,3.41,40,157,101,2,1,0,0,38,1,0,1,0,0,0,3,9,Alex Tosi,"R.Stripling (38-57), D.May (5), A.Kolarek (2), C.Ferguson (2), D.Floro 
(11), K.Jansen (0), J.Kelly (2), C.Sadler (1-W), P.Baez (0-Sv)"
140,140,44441,x,COL,"W,16-9",9,12,9,9,0,0,10,4,1,3.45,40,147,99,0,0,0,0,38,7,0,0,0,1,0,0,2,Larry Vanover,"W.Buehler (5-32-W), K.Maeda (4-Sv)"
141,141,44442,x,COL,"W,5-3",9,8,3,3,0,2,10,2,0,3.44,36,149,96,2,0,0,0,34,2,0,0,0,0,0,1,7,Dan Bellino,"J.Urias (17-54), Y.Garcia (2), A.Kolarek (1), D.Floro (1), C.Ferguson 
(1-W), C.Sadler (1-H), K.Jansen (1-Sv)"
142,142,44443,x,COL,"W,7-3",9,7,3,3,0,5,10,0,0,3.44,38,165,104,2,0,1,0,33,1,0,0,0,0,0,0,5,David Rackley,"H.Ryu (5-40), A.Kolarek (0-W), R.Stripling (2), C.Ferguson (0), P.Baez (2)"
143,143,44445,x,SFG,"L,4-5",9,9,5,5,0,5,12,1,0,3.45,40,168,118,2,2,0,0,35,2,0,2,0,0,0,1,6,Bill Welke,"C.Kershaw (5-39-L), D.Floro (2), Y.Garcia (2), A.Kolarek (1), C.Sadler (2), 
J.Sborz (38)"
144,144,44446,x,SFG,"L,0-1",9,5,1,1,0,8,11,0,0,3.44,39,168,103,2,0,2,0,31,1,0,0,0,0,0,1,7,Tony Randazzo,"T.Gonsolin (7-55-L), C.Ferguson (2), Y.Garcia (0), D.May (5), J.Kelly (5), 
P.Baez (2), K.Jansen (3)"
145,145,44447,x,SFG,"W,5-0",9,4,0,0,0,1,11,0,0,3.41,32,129,91,0,0,1,0,31,0,0,0,0,0,0,0,6,Lance Barrett,"J.Urias (4-54), K.Maeda (5-W), C.Sadler (1), Y.Garcia (0), A.Kolarek (1), 
J.Sborz (1)"
146,146,44449,@,BAL,"W,7-3",9,7,3,2,1,1,13,1,0,3.4,35,135,96,0,0,0,0,34,0,0,0,0,0,0,0,3,Ryan Additon,"W.Buehler (7-80-W), C.Sadler (1), C.Ferguson (2)"
147,147,44450,@,BAL,"L,3-7",8,9,7,6,1,3,9,2,0,3.42,36,142,84,0,0,0,0,33,3,0,0,0,0,1,0,7,Manny Gonzalez,"R.Stripling (6-51), D.May (3), J.Kelly (3-BSv), C.Ferguson (0-L), Y.Garcia 
(2), A.Kolarek (2), D.Floro (4)"
148,148,44451,@,BAL,"W,4-2",9,2,2,2,0,5,10,1,2,3.41,35,148,84,3,0,0,0,28,0,0,0,0,0,0,0,8,Sam Holbrook,"R.Hill (84-48), A.Kolarek (0), Y.Garcia (0), T.Gonsolin (4-W), K.Maeda 
(3-H), P.Baez (4-H), J.Urias (3-H), K.Jansen (4-Sv)"
149,149,44452,@,NYM,"W,9-2",9,5,2,2,0,4,6,1,0,3.4,36,151,93,3,1,0,0,32,0,0,0,0,0,0,0,4,Hunter Wendelstedt,"C.Kershaw (6-59-W), J.Kelly (1), C.Sadler (2), J.Sborz (4)"
150,150,44453,@,NYM,"L,0-3",8,3,3,3,0,1,9,0,2,3.4,30,120,79,1,1,0,0,27,1,0,0,0,0,0,0,4,Ben May,"H.Ryu (9-79), A.Kolarek (1), J.Kelly (0-L), J.Urias (1)"
151,151,44454,@,NYM,"W,3-2",9,3,2,2,0,3,5,0,1,3.39,33,128,96,0,0,0,0,29,0,1,0,0,0,0,1,6,Vic Carapazza,"W.Buehler (4-54), P.Baez (2), D.May (3), K.Jansen (2-W), A.Kolarek (0-H), 
K.Maeda (2-Sv)"
152,152,44456,x,TBR,"W,7-5",9,6,5,5,0,3,11,2,0,3.4,37,159,100,1,0,2,0,33,1,0,0,0,1,2,1,8,Gary Cederstrom,"C.Ferguson (5-50), J.Urias (2), D.Floro (5), R.Stripling (5), P.Baez 
(1-BSv), A.Kolarek (1), K.Maeda (1-W), K.Jansen (1-Sv)"
153,153,44457,x,TBR,"L,7-8",11,14,8,7,1,4,13,1,0,3.42,50,214,146,3,2,1,1,44,3,0,0,0,2,1,1,9,Adrian Johnson,"C.Sadler (4-49), D.Floro (0), J.Urias (0-H), T.Gonsolin (5-BSv), Y.Garcia 
(5), J.Kelly (3), D.May (2-H), K.Jansen (0-BSv), J.Sborz (4-L)"
154,154,44459,x,COL,"W,12-5",9,10,5,5,0,2,9,4,0,3.43,37,141,92,0,0,1,0,35,1,0,0,0,0,0,2,4,Greg Gibson,"C.Kershaw (6-44-W), K.Maeda (2), D.Floro (1), C.Ferguson (2)"
155,155,44460,x,COL,"L,2-4",9,7,4,4,0,3,8,2,1,3.44,36,130,82,0,0,2,0,32,0,0,0,0,0,0,1,5,CB Bucknor,"W.Buehler (5-48-L), J.Urias (2), P.Baez (3), K.Maeda (0), A.Kolarek (3)"
156,156,44461,x,COL,"W,7-4",9,8,4,4,0,1,10,2,1,3.44,35,132,86,1,0,0,0,32,2,0,0,1,0,1,3,4,Nic Lentz,"H.Ryu (7-61-W), C.Ferguson (1), D.May (3-H), K.Jansen (3)"
157,157,44463,@,SDP,"W,6-3",9,5,3,3,0,4,12,0,0,3.44,36,139,87,2,0,0,0,32,1,1,0,0,0,0,0,8,Mark Carlson,"R.Hill (11-59), T.Gonsolin (5-W), D.Floro (3), A.Kolarek (2-H), K.Maeda 
(2-H), J.Urias (2-H), P.Baez (2-H), K.Jansen (1-Sv)"
158,158,44464,@,SDP,"W,6-4",9,7,4,4,0,3,14,0,1,3.44,39,151,101,2,0,0,0,34,1,0,1,1,0,0,0,8,Tripp Gibson,"R.Stripling (7-45), C.Sadler (6), C.Ferguson (2-H), Y.Garcia (6-BSv), 
D.Floro (0-W), J.Urias (0-H), D.May (2-H), K.Jansen (0-Sv)"
159,159,44465,@,SDP,"W,1-0",9,3,0,0,0,2,12,0,0,3.42,32,138,98,1,0,1,0,30,1,0,0,0,0,0,0,5,Brian Gorman,"C.Kershaw (5-74-W), D.May (0-H), P.Baez (1-H), A.Kolarek (1), K.Maeda (1-Sv)"
160,160,44466,@,SFG,"W,9-2",9,8,2,2,0,8,13,0,1,3.41,46,209,130,2,0,1,0,35,2,0,0,0,2,2,0,7,Jim Wolf,"W.Buehler (5-53-W), D.Floro (1-H), C.Ferguson (1-H), Y.Garcia (1-H), 
C.Sadler (1-H), T.Gonsolin (2), J.Sborz (8)"
161,161,44467,@,SFG,"W,2-0",9,7,0,0,0,0,12,0,1,3.39,35,135,93,0,0,0,0,34,0,0,0,0,0,0,0,3,Roberto Ortiz,"H.Ryu (5-74-W), K.Maeda (1-H), K.Jansen (2-Sv)"
162,162,44468,@,SFG,"W,9-0",9,3,0,0,0,3,8,0,0,3.37,31,132,90,0,0,0,0,28,0,0,0,0,0,0,2,8,Manny Gonzalez,"R.Hill (4-59), D.May (2-W), C.Kershaw (2), J.Kelly (10), A.Kolarek (2), 
D.Floro (1), J.Urias (3), R.Stripling (3)"
